universidad,I-2010,I-2011,I-2012,I-2013,I-2014,I-2015,I-2016,I-2017,I-2018,I-2019,A-2010,A-2011,A-2012,A-2013,A-2014,A-2015,A-2016,A-2017,A-2018,A-2019,E-2010,E-2011,E-2012,E-2013,E-2014,E-2015,E-2016,E-2017,E-2018,E-2019
UNNE,31,61,88,73,69,44,79,68,54,57,70,134,116,101,92,177,230,165,180,231,10,12,7,21,12,19,22,15,16,0
UNICEN,0,0,0,27,20,48,27,23,17,39,0,0,0,27,9,21,44,52,69,102,0,0,0,0,0,0,0,0,3,2
UNR,54,53,47,51,44,42,44,36,22,58,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,250,227,Sin Info,12,4,11,15,9,16,17,24,9,10
UBA,31,34,37,45,48,58,47,52,36,28,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,80,Sin Info,7,6,5,21,14,13,7,3,11,3
UNT,11,12,10,6,5,2,8,5,8,11,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,100,Sin Info.,Sin Info.,Sin Info.,Sin Info.,4,6,2,0,6,0,1
UNLP,88,76,99,66,79,63,51,58,77,65,245,273,316,335,322,337,325,318,320,336,5,8,31,14,12,18,20,26,20,15
UNSJ,25,49,35,33,36,55,37,28,31,35,114,135,122,120,127,140,125,100,90,120,2,18,6,23,7,22,16,12,2,13
UNCa,35,37,28,27,18,35,44,32,30,25,120,106,125,133,127,143,161,161,157,124,5,0,0,1,1,0,2,2,4,2
UNC,25,25,45,54,56,53,60,60,52,40,157,168,181,201,216,223,237,175,205,237,5,6,4,6,Sin Info.,Sin Info.,8,13,9,4
UNL,100,81,89,86,84,100,52,56,65,62,295,319,378,Sin Info.,Sin Info.,Sin Info.,Sin Info.,409,410,Sin Info,5,9,7,15,5,22,22,16,21,14
UNS,24,24,22,21,21,22,23,11,18,12,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,81,89,17,6,12,12,10,15,4,3,6,1
UNSE,24,11,15,14,11,9,5,11,15,Sin Info.,87,80,75,86,41,50,60,65,84,Sin Info,7,3,1,0,1,2,0,3,0,Sin Info.
UMoron,13,25,18,17,14,10,10,2,16,12,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info.,Sin Info,3,3,4,7,4,7,2,Sin Info.,1,7
UMAZA,42,Sin Info.,45,38,35,21,36,45,13,Sin Info.,40,32,40,33,37,20,31,41,12,Sin Info,7,3,4,6,22,10,12,17,9,Sin Info.
UNDEF,0,0,0,0,4,3,2,4,2,3,0,0,0,3,1,2,4,2,3,3,0,0,0,0,0,0,0,0,0,0
